DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-06-29 15:05:00,11657.883789,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.2,992.4,16.0,0.220,110.000,253976,344900,250888,474,4.14,94.18
2026-06-29 15:15:12,12270.667969,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.1,992.4,16.0,0.266,136.000,253976,344900,250888,499,4.13,93.86
2026-06-29 15:25:25,12883.436523,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.2,992.3,16.0,0.115,70.000,253976,344900,250888,524,4.13,93.55
2026-06-29 15:35:37,13496.220703,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.2,992.2,15.9,0.133,77.000,253976,344900,250888,549,4.13,93.39
2026-06-29 15:45:50,14108.990234,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.1,992.2,16.0,0.133,76.000,253976,344900,250888,574,4.14,93.07
2026-06-29 15:56:02,14721.758789,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.1,992.1,15.9,0.108,56.000,253976,344900,250888,599,4.12,92.75
2026-06-29 16:06:15,15334.565430,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.0,992.0,15.9,0.101,54.000,253976,344900,250888,624,4.12,92.44
2026-06-29 16:16:28,15947.333984,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,39.9,991.9,15.9,0.101,52.000,253976,344900,250888,649,4.12,92.28
2026-06-29 16:26:40,16560.101562,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.0,991.9,16.0,0.119,59.000,253928,344900,250888,674,4.12,91.96
2026-06-29 16:36:53,17172.886719,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,39.9,991.9,15.9,0.166,78.000,253916,344900,250888,699,4.11,91.65
2026-06-29 16:47:05,17785.654297,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,39.9,991.8,16.0,0.086,48.000,253916,344900,250888,724,4.11,91.49
2026-06-29 16:57:18,18398.423828,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,39.8,991.8,15.9,0.079,44.000,253916,344900,250888,749,4.11,91.17
2026-06-29 17:07:30,19011.218750,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.7,991.9,16.0,0.137,78.000,253916,344900,250888,774,4.12,91.02
2026-06-29 17:17:43,19623.988281,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.6,991.9,15.9,0.151,86.000,253916,344900,250888,799,4.11,90.70
2026-06-29 17:27:55,20236.779297,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.6,991.9,15.9,0.058,42.000,253916,344900,250888,824,4.11,90.38
2026-06-29 17:38:08,20849.562500,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.6,991.9,15.8,0.227,117.000,253916,344900,250888,849,4.10,90.22
2026-06-29 17:48:21,21462.332031,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.6,991.8,15.9,0.151,88.000,253916,344900,250888,874,4.10,89.91
2026-06-29 17:58:33,22075.115234,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.6,991.8,15.9,0.000,0.000,253916,344900,250888,899,4.11,89.59
2026-06-29 18:08:46,22687.884766,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.7,991.8,15.7,0.000,0.000,253916,344900,250888,924,4.10,89.43
2026-06-29 18:18:58,23300.654297,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,39.8,991.8,15.9,0.000,0.000,253916,344900,250888,949,4.10,89.27
2026-06-29 18:29:11,23913.437500,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.9,991.8,15.9,0.000,0.000,253916,344900,250888,974,4.09,88.96
2026-06-29 18:39:23,24526.218750,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,39.9,991.8,15.8,0.000,0.000,253916,344900,250888,999,4.09,88.80
2026-06-29 18:49:36,25139.009766,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,40.1,991.8,15.8,0.000,0.000,253916,344900,250888,1024,4.09,88.50
2026-06-29 18:59:48,25751.792969,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,40.1,991.8,15.8,0.000,0.000,253916,344900,250888,1049,4.09,88.36
2026-06-29 19:10:01,26364.562500,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,40.4,991.8,15.6,0.000,0.000,253916,344900,250888,1074,4.09,88.07
2026-06-29 19:20:14,26977.330078,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,40.5,991.9,15.6,0.000,0.000,253916,344900,250888,1099,4.10,87.93
2026-06-29 19:30:26,27590.115234,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,40.5,992.0,15.6,0.000,0.000,253916,344900,250888,1124,4.08,87.64
2026-06-29 19:40:26,28190.597656,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,40.4,992.0,15.6,0.000,0.000,253916,344900,250888,1149,4.08,87.49
2026-06-29 19:50:39,28803.365234,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,40.5,992.0,15.5,0.000,0.000,253916,344900,250888,1174,4.08,87.35
2026-06-29 20:00:52,29416.150391,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.3,40.5,992.1,15.5,0.000,0.000,253916,344900,250888,1199,4.09,87.06
2026-06-29 20:11:04,30028.941406,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.4,40.5,992.1,15.5,0.000,0.000,253916,344900,250888,1224,4.08,86.92
2026-06-29 20:21:17,30641.724609,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.4,40.3,992.1,15.5,0.000,0.000,253916,344900,250888,1249,4.08,86.78
2026-06-29 20:31:29,31254.494141,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.4,40.2,992.2,15.5,0.000,0.000,253916,344900,250888,1274,4.07,86.63
2026-06-29 20:41:42,31867.263672,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.4,40.2,992.2,15.5,0.000,0.000,253916,344900,250888,1299,4.07,86.34
2026-06-29 20:51:54,32480.046875,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.5,40.3,992.2,15.4,0.000,0.000,253916,344900,250888,1324,4.08,86.20
2026-06-29 21:02:07,33092.816406,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.5,40.3,992.3,15.4,0.000,0.000,253916,344900,250888,1349,4.07,86.06
2026-06-29 21:11:22,33647.812500,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,CenterWithPellet,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-29 21:11:23,33649.128906,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,CenterWithPellet,1,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-29 21:12:20,33705.792969,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,2,0,0,,,,,Disabled,25.5,40.5,992.3,15.4,0.000,0.000,253872,344900,250888,1374,4.07,85.91
2026-06-29 21:22:32,34318.562500,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,2,0,0,,,,,Disabled,25.6,40.7,992.4,15.3,0.000,0.000,253872,344900,250888,1399,4.06,85.77
2026-06-29 21:32:45,34931.371094,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,2,0,0,,,,,Disabled,25.6,40.3,992.4,15.3,0.000,0.000,253872,344900,250888,1424,4.06,85.48
2026-06-29 21:42:57,35544.144531,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,2,0,0,,,,,Disabled,25.6,40.4,992.5,15.4,0.000,0.000,253872,344900,250888,1449,4.08,85.34
2026-06-29 21:53:10,36156.917969,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,2,0,0,,,,,Disabled,25.6,40.4,992.6,15.4,0.000,0.000,253872,344900,250888,1474,4.06,85.20
2026-06-29 22:03:22,36769.703125,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,2,0,0,,,,,Disabled,25.6,40.6,992.7,15.4,0.000,0.000,253872,344900,250888,1499,4.06,85.05
2026-06-29 22:13:35,37382.476562,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,2,0,0,,,,,Disabled,25.6,40.6,992.8,15.4,0.000,0.000,253872,344900,250888,1524,4.06,84.91
2026-06-29 22:23:48,37995.246094,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,2,0,0,,,,,Disabled,25.6,40.6,992.9,15.4,0.000,0.000,253872,344900,250888,1549,4.06,84.77
2026-06-29 22:31:59,38486.406250,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-29 22:32:19,38506.945312,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,2,0,0,2,0,0,TimedOut,542.000,0,2,,,,,,,,,,,,,,,,
2026-06-29 22:34:04,38612.140625,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,2,0,0,2,0,0,,,,,Disabled,25.6,40.6,993.0,15.3,0.000,0.000,253872,344900,250888,1574,4.07,84.62
2026-06-29 22:44:17,39224.929688,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,2,0,0,2,0,0,,,,,Disabled,25.6,40.5,993.0,15.4,0.000,0.000,253872,344900,250888,1599,4.06,84.48
2026-06-29 22:54:29,39837.722656,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,2,0,0,2,0,0,,,,,Disabled,25.6,40.5,993.0,15.4,0.000,0.000,253872,344900,250888,1624,4.05,84.34
